Parm	or	lowor	upor	imod	pr_seed	mi_seed
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	1234567	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	1234567	524239
RA_GRP_EXP	3.0274543391	1.4581533067	6.2856763643	4	123	524230
RA_GRP_S8	2.4236657672	1.1383098262	5.1604190843	4	123	524230
RA_GRP_EXP	3.1015418326	1.4705232126	6.5415912219	4	123	524231
RA_GRP_S8	2.4997047228	1.1867196175	5.2653749118	4	123	524231
RA_GRP_EXP	3.1267665455	1.5289427943	6.3943981856	4	123	524232
RA_GRP_S8	2.3301180796	1.0971424634	4.9487194656	4	123	524232
RA_GRP_EXP	2.5187905732	1.2170834739	5.2127122648	4	123	524233
RA_GRP_S8	1.8446385566	0.798221072	4.2628433701	4	123	524233
RA_GRP_EXP	2.9849368488	1.3682310277	6.5119470402	4	123	524234
RA_GRP_S8	2.2013720592	0.9473900581	5.1151465034	4	123	524234
RA_GRP_EXP	2.1779763755	0.9931854509	4.7761282531	4	123	524235
RA_GRP_S8	2.3309188345	1.0716815984	5.0697731688	4	123	524235
RA_GRP_EXP	2.0584107676	0.9545408665	4.438840742	4	123	524236
RA_GRP_S8	2.2119890533	1.0420341793	4.6955231115	4	123	524236
